model,split,calibration_method,probability_column,n,event_count,event_rate,pred_mean,roc_auc,pr_auc,brier,log_loss,reliability,resolution,uncertainty,grouped_brier
macro_logit,test,primary,p,3990105,26987,0.006763481161523318,0.010897406437138291,0.8256801027092974,0.1492151547927601,0.006201050632664142,0.033755764434496065,4.4719162509812265e-05,0.00011028004916013889,0.006717736484101037,0.00665217559745071
macro_logit,test,raw,p_raw,3990105,26987,0.006763481161523318,0.010019085878996024,0.8256801027092974,0.1492151547927601,0.006207688528113885,0.03340804792596276,4.6245398235387824e-05,0.00011028004916013889,0.006717736484101037,0.006653701833176286
regime_aware_dynamic_stress_robustness_logit,test,intercept_only,p_intercept_only,3990105,26987,0.006763481161523318,0.0014047941793286789,0.7756634524398325,0.15828226650916283,0.006245253927993671,0.04704892874023606,5.465072023117033e-05,7.860272796046974e-05,0.006717736484101037,0.0066937844763717376
regime_aware_dynamic_stress_robustness_logit,test,isotonic,p_isotonic,3990105,26987,0.006763481161523318,0.00142622862140302,0.7567732033591092,0.15328227411358814,0.006253907638290513,0.04099139143527092,6.470096950713636e-05,8.046447035054663e-05,0.006717736484101037,0.006701972983257627
regime_aware_dynamic_stress_robustness_logit,test,platt,p_platt,3990105,26987,0.006763481161523318,0.0013497730697935896,0.7756597537194848,0.15828236941609586,0.006300979055831787,0.04138291473051302,6.530556328907487e-05,7.860272796046974e-05,0.006717736484101037,0.006704439319429642
regime_aware_dynamic_stress_robustness_logit,test,primary,p,3990105,26987,0.006763481161523318,0.0013497730697935896,0.7756597537194848,0.15828236941609586,0.006300979055831787,0.04138291473051302,6.530556328907487e-05,7.860272796046974e-05,0.006717736484101037,0.006704439319429642
regime_aware_dynamic_stress_robustness_logit,test,raw,p_raw,3990105,26987,0.006763481161523318,0.004059776450552263,0.7756597537194848,0.15828236941609586,0.006232374861157458,0.038868795949670805,1.0217626352077349e-05,7.860272796046974e-05,0.006717736484101037,0.006649351382492645
regime_aware_logit,test,intercept_only,p_intercept_only,3990105,26987,0.006763481161523318,0.013880713854269493,0.8556178057440841,0.20767124106219606,0.006656609832283744,0.034921331133694195,0.0002519117228366313,0.00013498520176812736,0.006717736484101037,0.006834663005169541
regime_aware_logit,test,isotonic,p_isotonic,3990105,26987,0.006763481161523318,0.011719718537888146,0.8552690899188402,0.19599356698351195,0.0059839057458022146,0.031993360625803144,7.040601126898615e-05,0.00013201994202513188,0.006717736484101037,0.006656122553344891
regime_aware_logit,test,platt,p_platt,3990105,26987,0.006763481161523318,0.011216182835786808,0.8556178088155363,0.20767124104893347,0.005986948665471098,0.03211331018128652,3.348788354866844e-05,0.00013498520176812736,0.006717736484101037,0.006616239165881578
