model,fold,split,bin,n,mean_pred,observed_rate,event_count
regime_aware_logit,origin_2023_04,validation,5,216285,0.002157591462826842,0.0019372587095730172,419
regime_aware_logit,origin_2023_04,validation,6,216285,0.002913021260879044,0.0031116351110802875,673
regime_aware_logit,origin_2023_04,validation,7,216284,0.004195049037233403,0.004947199053096854,1070
regime_aware_logit,origin_2023_04,validation,8,216284,0.007193925741802397,0.0077259529137615355,1671
regime_aware_logit,origin_2023_04,validation,9,216284,0.03151411943088878,0.03024264393112759,6541
regime_aware_logit,origin_2023_04,test,0,257542,0.00044726430675238294,0.0003844033206234323,99
regime_aware_logit,origin_2023_04,test,1,257541,0.0009641316696334691,0.0007882240109341813,203
regime_aware_logit,origin_2023_04,test,2,257541,0.0016141149151093482,0.0012153404700610776,313
regime_aware_logit,origin_2023_04,test,3,257541,0.0025657260267079795,0.0021161679111287137,545
regime_aware_logit,origin_2023_04,test,4,257541,0.004128982179210732,0.0030441754905044245,784
regime_aware_logit,origin_2023_04,test,5,257541,0.006894202856683566,0.0042517502067631946,1095
regime_aware_logit,origin_2023_04,test,6,257541,0.01173221647364122,0.005249649570359671,1352
regime_aware_logit,origin_2023_04,test,7,257541,0.020019181621356956,0.006674665393083043,1719
regime_aware_logit,origin_2023_04,test,8,257541,0.03601325792788211,0.009606237453454012,2474
regime_aware_logit,origin_2023_04,test,9,257541,0.10857772476139617,0.030465052166451168,7846
baseline_logit,pooled,test,0,645088,0.0004389699930476645,0.00039374472940126,254
baseline_logit,pooled,test,1,645088,0.0009228395691093402,0.000864998263802768,558
baseline_logit,pooled,test,2,645088,0.0014400177111712864,0.001224639119003919,790
baseline_logit,pooled,test,3,645088,0.0020762000020904644,0.0019082667791061065,1231
baseline_logit,pooled,test,4,645088,0.0029377133690561704,0.00275621310580882,1778
baseline_logit,pooled,test,5,645088,0.004205288785667658,0.003447591646411032,2224
baseline_logit,pooled,test,6,645088,0.006268873424855957,0.004337392727813879,2798
baseline_logit,pooled,test,7,645088,0.009895129865093388,0.004869103130115581,3141
baseline_logit,pooled,test,8,645088,0.017094176541805454,0.0071602634059229125,4619
baseline_logit,pooled,test,9,645088,0.058692863580038244,0.030144724440696463,19446
macro_logit,pooled,test,0,645088,0.0006301371588612374,0.0008820502009028226,569
macro_logit,pooled,test,1,645088,0.0017364177786231725,0.0017796021628056946,1148
macro_logit,pooled,test,2,645088,0.003207891327771146,0.0020586338608065877,1328
macro_logit,pooled,test,3,645088,0.005296638996442287,0.002625998313408403,1694
macro_logit,pooled,test,4,645088,0.00853509954594305,0.003574706086611439,2306
macro_logit,pooled,test,5,645088,0.014608578740472344,0.005414765117317327,3493
macro_logit,pooled,test,6,645088,0.03282926907992816,0.009914926335631728,6396
macro_logit,pooled,test,7,645088,0.13138897513820147,0.01016605486383253,6558
macro_logit,pooled,test,8,645088,0.3011451796832041,0.006532442085420904,4214
macro_logit,pooled,test,9,645088,0.461549974599661,0.014157758321345304,9133
regime_aware_logit,pooled,test,0,645088,0.00036654452327912056,0.00058751674190188,379
regime_aware_logit,pooled,test,1,645088,0.0008443101140044484,0.0010153653455032491,655
regime_aware_logit,pooled,test,2,645088,0.0014282856012924146,0.0017563495213056203,1133
regime_aware_logit,pooled,test,3,645088,0.002248259101096138,0.002391921722307654,1543
regime_aware_logit,pooled,test,4,645088,0.003504274780731685,0.0032259164641103228,2081
regime_aware_logit,pooled,test,5,645088,0.0055421886712386115,0.0039374472940126,2540
regime_aware_logit,pooled,test,6,645088,0.00900544707760062,0.0045311647403145,2923
regime_aware_logit,pooled,test,7,645088,0.014991121900898128,0.005571332903417828,3594
regime_aware_logit,pooled,test,8,645088,0.026727874320268373,0.007881095292425219,5084
regime_aware_logit,pooled,test,9,645088,0.0856224056364938,0.02620882732278387,16907
