model,fold,split,bin,n,mean_pred,observed_rate,event_count
regime_aware_logit,origin_2021_04,validation,4,147205,0.022348858619928087,0.013946537142080771,2053
regime_aware_logit,origin_2021_04,validation,5,147204,0.023357384580251158,0.016134072443683596,2375
regime_aware_logit,origin_2021_04,validation,6,147204,0.024346634256073692,0.017886742208092173,2633
regime_aware_logit,origin_2021_04,validation,7,147204,0.025413938376083075,0.023233064318904376,3420
regime_aware_logit,origin_2021_04,validation,8,147204,0.026748420114578786,0.029904078693513764,4402
regime_aware_logit,origin_2021_04,validation,9,147204,0.029471707858945477,0.044964810738838616,6619
regime_aware_logit,origin_2021_04,test,0,176572,0.017109865051876914,0.0008891556985252475,157
regime_aware_logit,origin_2021_04,test,1,176572,0.018625116368207347,0.001551774913349795,274
regime_aware_logit,origin_2021_04,test,2,176572,0.01957007258626531,0.0018406089300681875,325
regime_aware_logit,origin_2021_04,test,3,176572,0.0204393479159332,0.0027920621616111274,493
regime_aware_logit,origin_2021_04,test,4,176571,0.02130900847499583,0.0030016254084759106,530
regime_aware_logit,origin_2021_04,test,5,176571,0.022252196722520882,0.0035396526043348,625
regime_aware_logit,origin_2021_04,test,6,176571,0.0232838886300285,0.003296124505156566,582
regime_aware_logit,origin_2021_04,test,7,176571,0.024441546648919146,0.00382848825684852,676
regime_aware_logit,origin_2021_04,test,8,176571,0.025911554488776543,0.0057993668269421365,1024
regime_aware_logit,origin_2021_04,test,9,176571,0.029532176684248384,0.024437761580327462,4315
baseline_logit,origin_2022_04,validation,0,176572,0.0004602600785873566,0.00052103391251161,92
baseline_logit,origin_2022_04,validation,1,176572,0.0008119295486660999,0.0011666628910586049,206
baseline_logit,origin_2022_04,validation,2,176572,0.001152038777361977,0.0013931993747593049,246
baseline_logit,origin_2022_04,validation,3,176572,0.0015426862099836437,0.002027501529121265,358
baseline_logit,origin_2022_04,validation,4,176571,0.002014635501946297,0.002339002440944436,413
baseline_logit,origin_2022_04,validation,5,176571,0.002630085552210517,0.0030356060734775246,536
baseline_logit,origin_2022_04,validation,6,176571,0.0034900581103315897,0.00382848825684852,676
baseline_logit,origin_2022_04,validation,7,176571,0.00479656234502194,0.003805834480180777,672
baseline_logit,origin_2022_04,validation,8,176571,0.007155448581516349,0.0057823764944413296,1021
baseline_logit,origin_2022_04,validation,9,176571,0.026056982800526887,0.027076926562119488,4781
baseline_logit,origin_2022_04,test,0,223359,0.000531472122779911,0.00040741586414695625,91
baseline_logit,origin_2022_04,test,1,223359,0.0009559250978455317,0.0008461714101513707,189
baseline_logit,origin_2022_04,test,2,223359,0.0013695275769211503,0.0013386521250542847,299
baseline_logit,origin_2022_04,test,3,223359,0.0018486157545020102,0.0017192054047519912,384
baseline_logit,origin_2022_04,test,4,223359,0.0024435422279104916,0.002780277490497361,621
baseline_logit,origin_2022_04,test,5,223359,0.0032411544365035043,0.003402594030238316,760
baseline_logit,origin_2022_04,test,6,223358,0.0043950142228139045,0.003913000653659148,874
baseline_logit,origin_2022_04,test,7,223358,0.006198149491548209,0.0047188817951450135,1054
baseline_logit,origin_2022_04,test,8,223358,0.009521208832533722,0.005748618809265842,1284
baseline_logit,origin_2022_04,test,9,223358,0.03237126405740272,0.026191137098290636,5850
macro_logit,origin_2022_04,validation,0,176572,0.0004984294444924135,0.0005153705004190925,91
macro_logit,origin_2022_04,validation,1,176572,0.0009232074638912823,0.0008325215776000725,147
macro_logit,origin_2022_04,validation,2,176572,0.001310384625808016,0.0013875359626667875,245
macro_logit,origin_2022_04,validation,3,176572,0.001730629978342089,0.0016707065672926624,295
macro_logit,origin_2022_04,validation,4,176571,0.0022225262253012337,0.0022936948876089505,405
macro_logit,origin_2022_04,validation,5,176571,0.0028341520294487476,0.0028826930809702613,509
macro_logit,origin_2022_04,validation,6,176571,0.0036411025943971936,0.003205509398485595,566
macro_logit,origin_2022_04,validation,7,176571,0.0048069359792316515,0.004813927541895328,850
macro_logit,origin_2022_04,validation,8,176571,0.006831891112939823,0.006263769248630862,1106
macro_logit,origin_2022_04,validation,9,176571,0.02615315011998276,0.0271109072271211,4787
macro_logit,origin_2022_04,test,0,223359,0.0004514455521226384,0.0005551600786178305,124
macro_logit,origin_2022_04,test,1,223359,0.0009624334176532379,0.001284926956155785,287
macro_logit,origin_2022_04,test,2,223359,0.0015755726590331474,0.002220640314471322,496
macro_logit,origin_2022_04,test,3,223359,0.002445147522748047,0.0030668117246226926,685
macro_logit,origin_2022_04,test,4,223359,0.003789628148657381,0.0033533459587480243,749
macro_logit,origin_2022_04,test,5,223359,0.005914903497089366,0.0033667772509726494,752
macro_logit,origin_2022_04,test,6,223358,0.009264783261909982,0.0033623152069771397,751
macro_logit,origin_2022_04,test,7,223358,0.014868988672634476,0.004266692932422389,953
macro_logit,origin_2022_04,test,8,223358,0.026039780750498946,0.005600873933326767,1251
macro_logit,origin_2022_04,test,9,223358,0.08902209730038745,0.023988395311562605,5358
regime_aware_logit,origin_2022_04,validation,0,176572,0.0006981220453914755,0.000419092494846295,74
regime_aware_logit,origin_2022_04,validation,1,176572,0.0011157201375512247,0.0008325215776000725,147
regime_aware_logit,origin_2022_04,validation,2,176572,0.001454685967198348,0.00088349228643273,156
