fold,model,feature,standardized_coefficient,basis_kind,basis_mean,basis_scale,raw_basis_coefficient,standardized_model_intercept,raw_basis_intercept
origin_2021_04,regime_aware_logit,ever_60_dpd,0.016251206398010254,main,0.0037645128761573583,0.06124003036440031,0.26536901274068125,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,months_since_30_dpd,0.09183372557163239,main,18.461500686517105,13.774882377469508,0.006666752067650145,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,months_since_60_dpd,0.03054402582347393,main,19.028060129969667,13.855095630564039,0.002204533742523904,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,delinquent_30_months_3m,-0.03105849213898182,main,0.017513939074631515,0.17972867994504005,-0.172807657344834,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,delinquent_30_months_6m,-0.03166941553354263,main,0.031313801873447074,0.2949497589384466,-0.10737223738552626,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,delinquent_30_months_12m,0.0005376542685553432,main,0.05183928309143644,0.4600312041427054,0.0011687343460913544,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,delinquent_60_months_3m,-0.05233914032578468,main,0.0020176344075761225,0.05854187834173857,-0.8940461394192827,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,delinquent_60_months_6m,0.07718778401613235,main,0.0032086879088815104,0.08681567959015195,0.8890995771792386,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,delinquent_60_months_12m,0.11816029995679855,main,0.004779890245868203,0.1220205153677157,0.9683642099094224,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,cured_from_30_dpd,-0.026174908503890038,main,0.0029392951212472017,0.054135530526837485,-0.4835070100756457,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,cumulative_30_dpd_cures,0.0358121283352375,main,0.04704439818060188,0.314383355440437,0.11391229120595878,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,months_since_30_dpd_cure,-0.11378053575754166,main,18.51510320589345,13.751982341838445,-0.00827375522519256,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,p_stress,-0.71630859375,main,0.17109020306227435,0.3734152816171695,-1.9182626662943307,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,p_stress_x_credit_score,-0.11452217400074005,interaction_product,128.13970131690817,280.35880756467424,-0.0004084843097869206,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,p_stress_x_original_cltv,-0.027252350002527237,interaction_product,12.734372476040788,28.76512892535508,-0.0009474092771579967,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,p_stress_x_original_dti,0.06602661311626434,interaction_product,5.835008732888305,13.267646513733789,0.004976512831263477,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,p_stress_x_original_ltv,0.0760212242603302,interaction_product,12.596166408696716,28.437998343260208,0.00267322697409001,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,p_stress_x_original_interest_rate,0.4420989155769348,interaction_product,0.6765992721065218,1.4899585864311178,0.29671892870250155,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,p_stress_x_current_delinquency_months,0.0522388219833374,interaction_product,0.0007974360869836378,0.030582956557742288,1.7081024159553593,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,p_stress_x_recent_60_dpd_3m,-0.04161651059985161,interaction_product,0.00012891786669352512,0.011257073313349878,-3.6969209883796497,-4.932944805309601,-4.2422453061424585
origin_2021_04,regime_aware_logit,p_stress_x_months_since_30_dpd,0.10479896515607834,interaction_product,1.7374795778042624,5.757374672627154,0.018202561256666902,-4.932944805309601,-4.2422453061424585
origin_2022_04,baseline_logit,credit_score,-0.37577569484710693,main,748.430178977459,47.09283581320969,-0.007979466268236509,-4.81489754589695,-3.5811857175910835
origin_2022_04,baseline_logit,mi_percent,0.1081504374742508,main,6.532549902708848,11.45500877554875,0.009441322970009674,-4.81489754589695,-3.5811857175910835
origin_2022_04,baseline_logit,number_of_units,0.01944732666015625,main,1.0364530269573011,0.25214198394980997,0.07712847482007332,-4.81489754589695,-3.5811857175910835
origin_2022_04,baseline_logit,original_cltv,0.06454655528068542,main,74.2102407136142,17.88307320420259,0.0036093659374786175,-4.81489754589695,-3.5811857175910835
origin_2022_04,baseline_logit,original_dti,0.3224632740020752,main,34.45864196856075,9.243195982226442,0.03488655597286192,-4.81489754589695,-3.5811857175910835
origin_2022_04,baseline_logit,original_upb,-0.396194189786911,main,220510.1077581495,117603.49446296951,-3.368898106268968e-06,-4.81489754589695,-3.5811857175910835
origin_2022_04,baseline_logit,original_ltv,0.07173511385917664,main,73.6487119853954,17.749544798359786,0.00404151851070601,-4.81489754589695,-3.5811857175910835
origin_2022_04,baseline_logit,original_interest_rate,0.22996670007705688,main,4.020093066044665,0.5806725632995546,0.3960350714184213,-4.81489754589695,-3.5811857175910835
origin_2022_04,baseline_logit,original_loan_term,-0.16802239418029785,main,317.09562435776905,74.89110923943865,-0.002243555955929346,-4.81489754589695,-3.5811857175910835
