model,fold,month_date,n,event_count,event_rate,pred_mean,brier,log_loss,predicted_defaults,count_error,absolute_count_error
regime_aware_logit,origin_2021_04,2022-02-01,157073,779,0.004959477440425789,0.017155052409459987,0.005540898759914912,0.035351096782280926,2694.5955471111088,1915.5955471111088,1915.5955471111088
regime_aware_logit,origin_2021_04,2022-03-01,160026,783,0.00489295489482959,0.020123220634385278,0.006098330409288737,0.039534484857925684,3220.2385052381383,2437.2385052381383,2437.2385052381383
baseline_logit,origin_2022_04,2022-04-01,163376,808,0.004945646851434727,0.005071980498233144,0.004665063529845166,0.026635517658805837,828.6398858793382,20.63988587933818,20.63988587933818
baseline_logit,origin_2022_04,2022-05-01,166614,814,0.004885543831850865,0.0052679636382063945,0.004586831141225839,0.02611556277238196,877.7164936161201,63.71649361612015,63.71649361612015
baseline_logit,origin_2022_04,2022-06-01,169321,835,0.004931461543458874,0.005465598231627282,0.004629808949323595,0.02645463583541553,925.4405581773631,90.44055817736307,90.44055817736307
baseline_logit,origin_2022_04,2022-07-01,172501,850,0.004927507666622222,0.005657018895917574,0.004727857235034674,0.026695935270514476,975.8414165646775,125.8414165646775,125.8414165646775
baseline_logit,origin_2022_04,2022-08-01,175882,916,0.005208037206763626,0.00587412083834805,0.004865206376953698,0.027520473616770603,1033.1521212903317,117.1521212903317,117.1521212903317
baseline_logit,origin_2022_04,2022-09-01,179158,935,0.00521885709820382,0.006126383305115753,0.004909246875310318,0.027432227198989596,1097.5905801779281,162.59058017792813,162.59058017792813
baseline_logit,origin_2022_04,2022-10-01,181677,966,0.005317128750474744,0.006427262525058664,0.004943901837105907,0.02714517370289123,1167.6857737650828,201.68577376508279,201.68577376508279
baseline_logit,origin_2022_04,2022-11-01,185262,1020,0.005505716228908249,0.006948219812335333,0.005068168905006487,0.02765066200810325,1287.2410988728684,267.2410988728684,267.2410988728684
baseline_logit,origin_2022_04,2022-12-01,188203,1022,0.005430306636982407,0.007509125513668899,0.005014869517998271,0.027565600501295223,1413.239949049028,391.2399490490279,391.2399490490279
baseline_logit,origin_2022_04,2023-01-01,191154,1066,0.005576655471504651,0.007901726785410424,0.005147009374739026,0.028590183300015722,1510.4466819383442,444.4466819383442,444.4466819383442
baseline_logit,origin_2022_04,2023-02-01,193586,1070,0.00552725920262829,0.008440333136113021,0.005172205848981829,0.028711760467704652,1633.9303304875752,563.9303304875752,563.9303304875752
baseline_logit,origin_2022_04,2023-03-01,196113,1106,0.005639605737508477,0.008524129546050564,0.0052307319976572855,0.029248732468075286,1671.6926176646143,565.6926176646143,565.6926176646143
macro_logit,origin_2022_04,2022-04-01,163376,808,0.004945646851434727,0.0022840081837732216,0.004652055424784023,0.02626391970002231,373.15212103213383,-434.84787896786617,434.84787896786617
macro_logit,origin_2022_04,2022-05-01,166614,814,0.004885543831850865,0.0022616127110632526,0.004580495184277626,0.025749078220536563,376.81634024109275,-437.18365975890725,437.18365975890725
macro_logit,origin_2022_04,2022-06-01,169321,835,0.004931461543458874,0.0021399529383089432,0.004604788173292992,0.026234476018892526,362.33897146740856,-472.66102853259144,472.66102853259144
macro_logit,origin_2022_04,2022-07-01,172501,850,0.004927507666622222,0.0014316406181645613,0.004737039837104937,0.027822391330135234,246.95943827400498,-603.0405617259951,603.0405617259951
macro_logit,origin_2022_04,2022-08-01,175882,916,0.005208037206763626,0.0039260043341026165,0.004761864530549403,0.025985601710562717,690.5134942906363,-225.48650570936366,225.48650570936366
macro_logit,origin_2022_04,2022-09-01,179158,935,0.00521885709820382,0.01781707840179094,0.0052418254299612475,0.03251367542956981,3192.0721323080616,2257.0721323080616,2257.0721323080616
macro_logit,origin_2022_04,2022-10-01,181677,966,0.005317128750474744,0.017914302523384076,0.005211698926381149,0.032145826282045604,3254.616739540849,2288.616739540849,2288.616739540849
macro_logit,origin_2022_04,2022-11-01,185262,1020,0.005505716228908249,0.01122692227483685,0.004913849767691723,0.02770816028672296,2079.9220744808244,1059.9220744808244,1059.9220744808244
macro_logit,origin_2022_04,2022-12-01,188203,1022,0.005430306636982407,0.010371757707471625,0.004839821033292305,0.027054661751882318,1951.9959158192823,929.9959158192823,929.9959158192823
macro_logit,origin_2022_04,2023-01-01,191154,1066,0.005576655471504651,0.05289932741687989,0.010570781855880413,0.06635253297333357,10111.918033046259,9045.918033046259,9045.918033046259
macro_logit,origin_2022_04,2023-02-01,193586,1070,0.00552725920262829,0.05053493538099588,0.010399767632498872,0.06425196315137317,9782.856000665468,8712.856000665468,8712.856000665468
macro_logit,origin_2022_04,2023-03-01,196113,1106,0.005639605737508477,0.07054667830804566,0.014780165611196328,0.0858368546572107,13835.120723025759,12729.120723025759,12729.120723025759
