model,fold,month_date,n,event_count,event_rate,pred_mean,brier,log_loss,predicted_defaults,count_error,absolute_count_error
regime_aware_logit,origin_2021_04,2021-08-01,141372,721,0.005100019805902159,0.022238668070162275,0.005316893764171271,0.040651855974891765,3143.924982414981,2422.924982414981,2422.924982414981
regime_aware_logit,origin_2021_04,2021-09-01,144794,728,0.005027832644999102,0.02223079983737764,0.005243839327515283,0.040317210752780816,3218.8864316532577,2490.8864316532577,2490.8864316532577
regime_aware_logit,origin_2021_04,2021-10-01,148194,713,0.004811260914746886,0.022226381472146502,0.005036802685861571,0.03950223723248473,3293.816375883279,2580.816375883279,2580.816375883279
regime_aware_logit,origin_2021_04,2021-11-01,151979,689,0.004533521078570066,0.022209913909577904,0.004779513841543842,0.038582425419212904,3375.44050606374,2686.44050606374,2686.44050606374
regime_aware_logit,origin_2021_04,2021-12-01,155481,704,0.004527884436040417,0.02221226688858035,0.004779888907965171,0.038653178983369126,3453.5854681033616,2749.5854681033616,2749.5854681033616
regime_aware_logit,origin_2021_04,2022-01-01,158609,745,0.004697085285198192,0.02222848692531139,0.004941855286822848,0.03930427910889955,3525.6380827367143,2780.6380827367143,2780.6380827367143
regime_aware_logit,origin_2021_04,2022-02-01,162298,779,0.004799812690236479,0.02225138055344366,0.005039897319968487,0.03969454129804222,3611.354561062799,2832.354561062799,2832.354561062799
regime_aware_logit,origin_2021_04,2022-03-01,165401,783,0.004733949613363885,0.022283358945517827,0.005028265853769131,0.04025081376345874,3685.689852947594,2902.689852947594,2902.689852947594
baseline_logit,origin_2022_04,2022-04-01,168901,808,0.0047838674726615,0.00499347214571277,0.0045557370191316535,0.026119453615608416,843.4024388830325,35.40243888303246,35.40243888303246
baseline_logit,origin_2022_04,2022-05-01,172226,814,0.004726347938174259,0.005152409308063197,0.004476042024602908,0.02566951639179446,887.378845490492,73.37884549049204,73.37884549049204
baseline_logit,origin_2022_04,2022-06-01,175027,835,0.0047706925217252194,0.005310501519083649,0.004502354786800531,0.02594609037075275,929.4811493806538,94.48114938065385,94.48114938065385
baseline_logit,origin_2022_04,2022-07-01,178280,850,0.004767781018622391,0.005493715122922348,0.004627902990929468,0.026271573510397342,979.4195321145962,129.41953211459622,129.41953211459622
baseline_logit,origin_2022_04,2022-08-01,181711,915,0.005035468408626885,0.00563139628318026,0.004735829404521276,0.02697320646532071,1023.2866500129683,108.28665001296827,108.28665001296827
baseline_logit,origin_2022_04,2022-09-01,185055,935,0.005052551944016644,0.005859769078394128,0.004784996161531413,0.026888500128776808,1084.3795668022253,149.37956680222533,149.37956680222533
baseline_logit,origin_2022_04,2022-10-01,187621,966,0.00514867738685968,0.00612272642185115,0.004811558128828407,0.026563352727770016,1148.7520539941345,182.75205399413449,182.75205399413449
baseline_logit,origin_2022_04,2022-11-01,191246,1020,0.005333444882507346,0.006588738877013171,0.004899324478270226,0.026924575671019475,1260.0699552732608,240.0699552732608,240.0699552732608
baseline_logit,origin_2022_04,2022-12-01,194247,1022,0.005261342517516358,0.007011887141698458,0.004842486095405792,0.026796383682685193,1362.0380416135004,340.03804161350035,340.03804161350035
baseline_logit,origin_2022_04,2023-01-01,197253,1066,0.0054042270586505655,0.007268708057360805,0.004973429152567879,0.027754614540745882,1433.774470438591,367.7744704385909,367.7744704385909
baseline_logit,origin_2022_04,2023-02-01,199724,1070,0.005357393202619615,0.007693845518786386,0.005024258229826219,0.02782579671059127,1536.645602394092,466.64560239409207,466.64560239409207
baseline_logit,origin_2022_04,2023-03-01,202295,1105,0.0054623198793840675,0.007687839584256849,0.005059289225846662,0.028269119879373243,1555.2115086972392,450.2115086972392,450.2115086972392
macro_logit,origin_2022_04,2022-04-01,168901,808,0.0047838674726615,0.0026644842479350596,0.004512420235246803,0.025696323238869962,450.03405396047947,-357.96594603952053,357.96594603952053
macro_logit,origin_2022_04,2022-05-01,172226,814,0.004726347938174259,0.002568796385327625,0.004434805015449569,0.02527916995633714,442.41352625943557,-371.58647374056443,371.58647374056443
