model,split,bin,n,mean_pred,observed_rate,event_count
baseline_plus_p_stress_logit,test,9,399011,0.06309815658867418,0.03931971800276183,15689
baseline_plus_p_stress_logit,train,0,811886,0.0004983715756003844,0.0007796661107593924,633
baseline_plus_p_stress_logit,train,1,811886,0.0008207343538637043,0.0017933552247483022,1456
baseline_plus_p_stress_logit,train,2,811886,0.0010920598575005335,0.002857544039434108,2320
baseline_plus_p_stress_logit,train,3,811885,0.001370664692590247,0.00420626073889775,3415
baseline_plus_p_stress_logit,train,4,811886,0.0016814182269718641,0.006039025183338547,4903
baseline_plus_p_stress_logit,train,5,811886,0.002047944900478063,0.007540467504058452,6122
baseline_plus_p_stress_logit,train,6,811885,0.002513715443243081,0.010591401491590558,8599
baseline_plus_p_stress_logit,train,7,811886,0.003168138593940861,0.014925740805975224,12118
baseline_plus_p_stress_logit,train,8,811886,0.0042993487110304035,0.022650963312583292,18390
baseline_plus_p_stress_logit,train,9,811886,0.025748485945017024,0.08166047942691462,66299
baseline_plus_p_stress_logit,val,0,307486,0.00046848306916031263,0.0005333576162817169,164
baseline_plus_p_stress_logit,val,1,307485,0.0008323571832799652,0.0009398832463372197,289
baseline_plus_p_stress_logit,val,2,307485,0.0011765740848405635,0.001401694391596338,431
baseline_plus_p_stress_logit,val,3,307485,0.0015568857445028047,0.002139941785778168,658
baseline_plus_p_stress_logit,val,4,307485,0.0020225584087527645,0.002754605915735727,847
baseline_plus_p_stress_logit,val,5,307485,0.0026287440404783656,0.0027058230482787777,832
baseline_plus_p_stress_logit,val,6,307485,0.003475905475929041,0.003749776411857489,1153
baseline_plus_p_stress_logit,val,7,307485,0.004801566765628919,0.004022960469616404,1237
baseline_plus_p_stress_logit,val,8,307485,0.007394343286910296,0.0062149373140153175,1911
baseline_plus_p_stress_logit,val,9,307485,0.027067656616392214,0.026989934468348048,8299
macro_logit,test,0,399011,0.0005804034923560333,0.0005488570490537855,219
macro_logit,test,1,399010,0.001259921689314449,0.0010851858349414801,433
macro_logit,test,2,399011,0.0020044093688462777,0.0015463232843204824,617
macro_logit,test,3,399010,0.0029160997648999183,0.0020199994987594298,806
macro_logit,test,4,399011,0.0040921384539870055,0.0025613328955843323,1022
macro_logit,test,5,399010,0.00566666200307474,0.0033708428360191473,1345
macro_logit,test,6,399010,0.00790650132443068,0.004375830179694744,1746
macro_logit,test,7,399011,0.011420550314727152,0.0059221424973246355,2363
macro_logit,test,8,399010,0.01811105289500036,0.008736623142277135,3486
macro_logit,test,9,399011,0.05501627838233777,0.03746763873677668,14950
macro_logit,train,0,811886,0.000813022389846057,0.00027713250382442855,225
macro_logit,train,1,811886,0.0015599297004175276,0.0007082275097735396,575
macro_logit,train,2,811886,0.002274814423954553,0.0009373237129350672,761
macro_logit,train,3,811885,0.0031120926019544055,0.0015396269176053258,1250
macro_logit,train,4,811886,0.004174758622514288,0.0022096698304934436,1794
macro_logit,train,5,811886,0.005651113056531184,0.0034352113474059166,2789
macro_logit,train,6,811885,0.007977393288878419,0.00526429235667613,4274
macro_logit,train,7,811886,0.012477524562799422,0.00951488263130538,7725
macro_logit,train,8,811886,0.023854151325304107,0.02261401231207337,18360
macro_logit,train,9,811886,0.09162070778950435,0.1065445148703143,86502
macro_logit,val,0,307486,0.0003029918629795194,0.0005658794221525533,174
macro_logit,val,1,307485,0.000622792140437608,0.0010439533635787112,321
macro_logit,val,2,307485,0.0009557125765034708,0.0016228433907345074,499
macro_logit,val,3,307485,0.0013547941945382125,0.0020781501536660326,639
macro_logit,val,4,307485,0.0018607307039490628,0.0025269525342699645,777
macro_logit,val,5,307485,0.0025389194711685934,0.0029985202530204724,922
macro_logit,val,6,307485,0.003506710928895592,0.0036879847797453534,1134
macro_logit,val,7,307485,0.005046528451662725,0.0046018504967722,1415
macro_logit,val,8,307485,0.008032972703265924,0.006006797079532335,1847
macro_logit,val,9,307485,0.027266699783441827,0.026319983088605947,8093
regime_aware_dynamic_stress_robustness_logit,test,0,399011,2.6333858250558564e-05,0.0009122555518519539,364
regime_aware_dynamic_stress_robustness_logit,test,1,399010,5.81604498433172e-05,0.0016440690709506028,656
regime_aware_dynamic_stress_robustness_logit,test,2,399011,9.87372592472786e-05,0.002313219435053169,923
regime_aware_dynamic_stress_robustness_logit,test,3,399010,0.0001541159227064119,0.0033056815618656174,1319
regime_aware_dynamic_stress_robustness_logit,test,4,399011,0.000231808330795446,0.004090112803907662,1632
regime_aware_dynamic_stress_robustness_logit,test,5,399010,0.0003449690963944751,0.004368311571138568,1743
regime_aware_dynamic_stress_robustness_logit,test,6,399010,0.0005165887200480887,0.0051051352096438685,2037
regime_aware_dynamic_stress_robustness_logit,test,7,399011,0.0007959785210799892,0.005746708737353105,2293
regime_aware_dynamic_stress_robustness_logit,test,8,399010,0.0013370732684685784,0.007370742587905065,2941
regime_aware_dynamic_stress_robustness_logit,test,9,399011,0.009933954399326558,0.032778544952394795,13079
regime_aware_dynamic_stress_robustness_logit,train,0,811886,0.0006258344089167793,0.0007525687103854482,611
regime_aware_dynamic_stress_robustness_logit,train,1,811886,0.0010153488068534262,0.0017391604240004138,1412
regime_aware_dynamic_stress_robustness_logit,train,2,811886,0.0013363607877204407,0.002804580938703217,2277
regime_aware_dynamic_stress_robustness_logit,train,3,811885,0.0016622755290684023,0.004142212259125369,3363
regime_aware_dynamic_stress_robustness_logit,train,4,811886,0.002022286473819139,0.00587274568104389,4768
regime_aware_dynamic_stress_robustness_logit,train,5,811886,0.002444236362419076,0.007493662903412548,6084
regime_aware_dynamic_stress_robustness_logit,train,6,811885,0.0029774825302511356,0.010512572593409165,8535
