model,coefficient,standardized_model_intercept,raw_basis_intercept,feature,basis_kind,standardized_coefficient,basis_mean,basis_scale,raw_basis_coefficient
regime_aware_logit,-0.4297869851337066,-4.9267639010581625,-3.1239805140829278,original_ltv_missing,main,-0.4297869851337066,8.252392146777293e-06,0.002872685859052665,-149.6115503821357
regime_aware_logit,0.0,-4.9267639010581625,-3.1239805140829278,number_of_borrowers_missing,main,0.0,0.0,1.0,0.0
regime_aware_logit,0.10894847650494234,-4.9267639010581625,-3.1239805140829278,current_delinquency_months,main,0.10894847650494234,0.010926659882461302,0.12212693623790266,0.8920921121996482
regime_aware_logit,0.09928051637352668,-4.9267639010581625,-3.1239805140829278,current_30_dpd,main,0.09928051637352668,0.008872799598170087,0.09377671899496588,1.0586904451077699
regime_aware_logit,0.08825006248502751,-4.9267639010581625,-3.1239805140829278,current_60_dpd,main,0.08825006248502751,0.0020538602842912145,0.04527297143134992,1.9492880563151522
regime_aware_logit,0.05411215609691865,-4.9267639010581625,-3.1239805140829278,recent_30_dpd_3m,main,0.05411215609691865,0.014818956065003231,0.12082778904766375,0.4478452889307828
regime_aware_logit,0.09613772356275528,-4.9267639010581625,-3.1239805140829278,recent_60_dpd_3m,main,0.09613772356275528,0.0028766360983281144,0.053557082286901245,1.7950515498165631
regime_aware_logit,0.2054779527171776,-4.9267639010581625,-3.1239805140829278,ever_30_dpd,main,0.2054779527171776,0.047465665737718286,0.212632726347083,0.9663514937102081
regime_aware_logit,-0.010223562258862841,-4.9267639010581625,-3.1239805140829278,ever_60_dpd,main,-0.010223562258862841,0.007033747849759166,0.08357197042636469,-0.122332430439352
regime_aware_logit,-0.019640054819358585,-4.9267639010581625,-3.1239805140829278,months_since_30_dpd,main,-0.019640054819358585,21.174875826132197,16.999301831480462,-0.0011553447908659283
regime_aware_logit,0.027758645484067646,-4.9267639010581625,-3.1239805140829278,months_since_60_dpd,main,0.027758645484067646,22.026935438456984,17.19453657683591,0.001614387532925049
regime_aware_logit,-0.05141140241592045,-4.9267639010581625,-3.1239805140829278,delinquent_30_months_3m,main,-0.05141140241592045,0.022522502549003814,0.20401153425260063,-0.25200243017762164
regime_aware_logit,0.014342975650292676,-4.9267639010581625,-3.1239805140829278,delinquent_30_months_6m,main,0.014342975650292676,0.03886076095923836,0.3251492590535204,0.04411197396556819
regime_aware_logit,-0.015858852693395258,-4.9267639010581625,-3.1239805140829278,delinquent_30_months_12m,main,-0.015858852693395258,0.06466746924259545,0.5074868062588739,-0.0312497832412721
regime_aware_logit,-0.006118283253397673,-4.9267639010581625,-3.1239805140829278,delinquent_60_months_3m,main,-0.006118283253397673,0.003643369547786154,0.0745070571550574,-0.08211682875442056
regime_aware_logit,0.02759419359643266,-4.9267639010581625,-3.1239805140829278,delinquent_60_months_6m,main,0.02759419359643266,0.005438819104854402,0.10536326785157502,0.26189576461603803
regime_aware_logit,0.022280344689510314,-4.9267639010581625,-3.1239805140829278,delinquent_60_months_12m,main,0.022280344689510314,0.008078722401598846,0.14619329095814435,0.15240333221508268
regime_aware_logit,0.06800677417485089,-4.9267639010581625,-3.1239805140829278,cured_from_30_dpd,main,0.06800677417485089,0.0032511961657661704,0.05692649549425889,1.1946418549813849
regime_aware_logit,0.039272481271956976,-4.9267639010581625,-3.1239805140829278,cumulative_30_dpd_cures,main,0.039272481271956976,0.06225333661458299,0.3801203067142341,0.1033159254537831
regime_aware_logit,0.14464904012913732,-4.9267639010581625,-3.1239805140829278,months_since_30_dpd_cure,main,0.14464904012913732,21.292316973643338,16.971424525238238,0.00852309362210753
regime_aware_logit,0.3940800896977864,-4.9267639010581625,-3.1239805140829278,p_stress,main,0.3940800896977864,0.07456423083186059,0.2584277214305682,1.5249141520742926
regime_aware_logit,0.3604568763465155,-4.9267639010581625,-3.1239805140829278,p_stress_x_credit_score,interaction_product,0.3604568763465155,55.71700546936509,193.51779648819664,0.001862654923153288
regime_aware_logit,0.1219909367921595,-4.9267639010581625,-3.1239805140829278,p_stress_x_original_cltv,interaction_product,0.1219909367921595,5.490870098734661,19.64734169355088,0.006209030142342476
regime_aware_logit,0.023214976944680287,-4.9267639010581625,-3.1239805140829278,p_stress_x_original_dti,interaction_product,0.023214976944680287,2.5820364676614873,9.300807532513879,0.0024960173472599106
regime_aware_logit,-0.11021797502850697,-4.9267639010581625,-3.1239805140829278,p_stress_x_original_ltv,interaction_product,-0.11021797502850697,5.459943919215105,19.540818149120295,-0.005640397151614087
regime_aware_logit,-0.3375106459885816,-4.9267639010581625,-3.1239805140829278,p_stress_x_original_interest_rate,interaction_product,-0.3375106459885816,0.3034977257702552,1.0654460365573093,-0.3167787334205614
regime_aware_logit,0.05226948374657748,-4.9267639010581625,-3.1239805140829278,p_stress_x_current_delinquency_months,interaction_product,0.05226948374657748,0.0033449438835365824,0.07064161642724019,0.7399247977346932
regime_aware_logit,0.003326497646077388,-4.9267639010581625,-3.1239805140829278,p_stress_x_recent_60_dpd_3m,interaction_product,0.003326497646077388,0.0010754693500176424,0.03219053053300317,0.1033377701764472
regime_aware_logit,-0.16601476216922015,-4.9267639010581625,-3.1239805140829278,p_stress_x_months_since_30_dpd,interaction_product,-0.16601476216922015,2.0528671827732174,8.837230269599674,-0.01878583641079442
regime_aware_logit,1e-05,,,alpha,,,,,
regime_aware_logit,0.005157288845714512,,,validation_brier_for_selection,,,,,
regime_aware_logit,500000.0,,,tuning_train_rows,,,,,
regime_aware_logit,500000.0,,,tuning_val_rows,,,,,
regime_aware_logit,0.004676373544470853,,,calibration_validation_brier_platt,,,,,
regime_aware_logit,0.026322947389043675,,,calibration_validation_log_loss_platt,,,,,
regime_aware_logit,0.0048026907884785855,,,calibration_validation_brier_intercept_only,,,,,
regime_aware_logit,0.027373501098878185,,,calibration_validation_log_loss_intercept_only,,,,,
regime_aware_logit,0.004624930065527621,,,calibration_validation_brier_isotonic,,,,,
regime_aware_logit,0.0259985500824329,,,calibration_validation_log_loss_isotonic,,,,,
regime_aware_logit,0.007815491217174404,,,calibration_validation_brier_raw,,,,,
regime_aware_logit,0.04555566432681163,,,calibration_validation_log_loss_raw,,,,,
regime_aware_logit,-2.831774395305902,,,platt_intercept,,,,,
regime_aware_logit,0.6905433056389455,,,platt_logit_slope,,,,,
regime_aware_logit,-2.150337859181975,,,intercept_only_shift,,,,,
regime_aware_logit,198.0,,,isotonic_threshold_count,,,,,
regime_aware_with_raw_macro_logit,-0.4668495123775141,-5.511842414656742,-12.9041268959391,credit_score,main,-0.4668495123775141,748.8429086947942,46.97607739629283,-0.009938026720263282
regime_aware_with_raw_macro_logit,0.08587052299777917,-5.511842414656742,-12.9041268959391,mi_percent,main,0.08587052299777917,6.441691306831577,11.391825966815876,0.0075379068507470184
regime_aware_with_raw_macro_logit,0.02025997530463293,-5.511842414656742,-12.9041268959391,number_of_units,main,0.02025997530463293,1.0362769000270728,0.2512786464908277,0.08062752481187242
regime_aware_with_raw_macro_logit,0.1297706644421837,-5.511842414656742,-12.9041268959391,original_cltv,main,0.1297706644421837,73.94686691157796,17.919308879750563,0.0072419458425000425
regime_aware_with_raw_macro_logit,0.3382486053639282,-5.511842414656742,-12.9041268959391,original_dti,main,0.3382486053639282,34.34433143183438,9.27727216487509,0.03645992047582474
regime_aware_with_raw_macro_logit,-0.6320778982379307,-5.511842414656742,-12.9041268959391,original_upb,main,-0.6320778982379307,221705.6111832477,119047.80428829581,-5.309446083585378e-06
regime_aware_with_raw_macro_logit,0.07887272810395991,-5.511842414656742,-12.9041268959391,original_ltv,main,0.07887272810395991,73.40804014554756,17.79460301872334,0.004432396048451919
