model,split,test_month,n,observed_defaults,predicted_defaults,count_error,absolute_count_error,relative_count_error,absolute_relative_count_error,observed_default_rate,predicted_default_rate,count_error_rate,absolute_count_error_rate,p_stress_mean,hard_stress_share
baseline_logit,test,2024-02,225349,1626.0,2442.510018355395,816.510018355395,816.510018355395,0.5021586828753967,0.5021586828753967,0.007215474663743793,0.010838787917210171,0.003623313253466379,0.003623313253466379,0.9999999754984987,1.0
baseline_logit,test,2024-03,227891,1652.0,2506.269478501656,854.2694785016561,854.2694785016561,0.5171122751220678,0.5171122751220678,0.0072490796038456986,0.010997667650331326,0.003748588046485627,0.003748588046485627,0.999999790387866,1.0
baseline_logit,test,2024-04,230753,1700.0,2574.596083307681,874.596083307681,874.596083307681,0.5144682842986359,0.5144682842986359,0.007367184825332715,0.011157367762532582,0.0037901829371998676,0.0037901829371998676,0.9999999993852525,1.0
baseline_logit,test,2024-05,232956,1748.0,2678.7910680535424,930.7910680535424,930.7910680535424,0.5324891693670151,0.5324891693670151,0.007503562904582839,0.011499128882937304,0.003995565978354464,0.003995565978354464,0.9999999930838859,1.0
baseline_logit,test,2024-06,234904,1761.0,2894.5249582895976,1133.5249582895976,1133.5249582895976,0.643682543037818,0.643682543037818,0.00749667949460205,0.012322161216026962,0.004825481721424912,0.004825481721424912,0.99999977885505,1.0
baseline_logit,test,2024-07,236800,1771.0,2989.2881662293175,1218.2881662293175,1218.2881662293175,0.6879097494236689,0.6879097494236689,0.007478885135135135,0.012623683134414348,0.005144797999279213,0.005144797999279213,0.9999999069530472,1.0
baseline_logit,test,2024-08,238580,1793.0,3061.692904864595,1268.6929048645952,1268.6929048645952,0.7075810958530927,0.7075810958530927,0.007515298851538268,0.012832982248573205,0.005317683397034937,0.005317683397034937,0.9999330869848196,1.0
baseline_logit,test,2024-09,240701,1784.0,3188.154113475281,1404.154113475281,1404.154113475281,0.7870819021722427,0.7870819021722427,0.0074116850366221995,0.013245288193548348,0.00583360315692615,0.00583360315692615,0.9999029286634968,1.0
baseline_plus_p_stress_logit,test,2023-04,200066,1117.0,1866.3333839182592,749.3333839182592,749.3333839182592,0.6708445693090951,0.6708445693090951,0.005583157558005858,0.009328588485391117,0.003745430927385259,0.003745430927385259,0.999958480201736,1.0
baseline_plus_p_stress_logit,test,2023-05,202454,1134.0,1942.8280157188506,808.8280157188506,808.8280157188506,0.7132522184469582,0.7132522184469582,0.005601272387801674,0.009596392344526907,0.003995119956725234,0.003995119956725234,0.999999899954197,1.0
baseline_plus_p_stress_logit,test,2023-06,205586,1185.0,2071.6075080816327,886.6075080816327,886.6075080816327,0.7481919899423061,0.7481919899423061,0.0057640111680756475,0.010076598153967841,0.0043125869858921945,0.0043125869858921945,0.9999999744544451,1.0
baseline_plus_p_stress_logit,test,2023-07,208458,1236.0,2208.8402326482865,972.8402326482865,972.8402326482865,0.7870875668675457,0.7870875668675457,0.005929251935641712,0.010596092415010633,0.004666840479368921,0.004666840479368921,0.9999999913803682,1.0
