fold,model,feature,standardized_coefficient
origin_2022_04,macro_logit,delinquent_60_months_3m,0.024240734055638313
origin_2022_04,macro_logit,delinquent_60_months_6m,0.007659575901925564
origin_2022_04,macro_logit,delinquent_60_months_12m,-0.1427173614501953
origin_2022_04,macro_logit,cured_from_30_dpd,0.02923174574971199
origin_2022_04,macro_logit,cumulative_30_dpd_cures,-0.027728691697120667
origin_2022_04,macro_logit,months_since_30_dpd_cure,0.2364361584186554
origin_2022_04,macro_logit,inflation,0.44531160593032837
origin_2022_04,macro_logit,policy_rate,0.9722263813018799
origin_2022_04,macro_logit,unemployment,-1.45954167842865
origin_2022_04,macro_logit,unemployment_change,0.28131070733070374
origin_2022_04,macro_logit,house_price_growth,-0.48975425958633423
origin_2022_04,macro_logit,mortgage_rate,-0.680022120475769
origin_2022_04,macro_logit,mortgage_spread,1.211876392364502
origin_2022_04,macro_logit,long_rate,-0.9599103927612305
origin_2022_04,macro_logit,long_rate_change,0.43995240330696106
origin_2022_04,macro_logit,yield_curve,0.6361640095710754
origin_2022_04,macro_logit,initial_claims,0.511681079864502
origin_2022_04,macro_logit,initial_claims_change,-0.3709656596183777
origin_2022_04,macro_logit,payroll_growth,-0.8815719485282898
origin_2022_04,macro_logit,real_income_growth,0.10355973243713379
origin_2022_04,macro_logit,financial_conditions,-0.36600297689437866
origin_2022_04,macro_logit,consumer_sentiment,0.7303497195243835
origin_2022_04,macro_logit,consumer_sentiment_change,-0.23634223639965057
origin_2022_04,regime_aware_logit,credit_score,-0.6875754594802856
origin_2022_04,regime_aware_logit,mi_percent,0.14272521436214447
origin_2022_04,regime_aware_logit,number_of_units,-0.0163949653506279
origin_2022_04,regime_aware_logit,original_cltv,0.058903634548187256
origin_2022_04,regime_aware_logit,original_dti,-0.05285841226577759
origin_2022_04,regime_aware_logit,original_upb,-0.5187467932701111
origin_2022_04,regime_aware_logit,original_ltv,0.08858707547187805
origin_2022_04,regime_aware_logit,original_interest_rate,-0.11075878143310547
origin_2022_04,regime_aware_logit,original_loan_term,1.3649797439575195
origin_2022_04,regime_aware_logit,number_of_borrowers,-0.21434172987937927
origin_2022_04,regime_aware_logit,loan_age_months,-0.2005539834499359
origin_2022_04,regime_aware_logit,remaining_months_to_legal_maturity,-1.5768550634384155
origin_2022_04,regime_aware_logit,current_actual_upb,0.8192471861839294
origin_2022_04,regime_aware_logit,current_interest_rate,0.45522746443748474
origin_2022_04,regime_aware_logit,current_delinquency_months,0.12422076612710953
origin_2022_04,regime_aware_logit,current_30_dpd,0.10059680044651031
origin_2022_04,regime_aware_logit,current_60_dpd,0.12714283168315887
origin_2022_04,regime_aware_logit,recent_30_dpd_3m,0.11178683489561081
origin_2022_04,regime_aware_logit,recent_60_dpd_3m,-0.011002007871866226
origin_2022_04,regime_aware_logit,ever_30_dpd,0.16823972761631012
origin_2022_04,regime_aware_logit,ever_60_dpd,0.020103221759200096
origin_2022_04,regime_aware_logit,months_since_30_dpd,-0.3158981502056122
origin_2022_04,regime_aware_logit,months_since_60_dpd,0.046521637588739395
origin_2022_04,regime_aware_logit,delinquent_30_months_3m,-0.09149842709302902
origin_2022_04,regime_aware_logit,delinquent_30_months_6m,-0.02195078693330288
origin_2022_04,regime_aware_logit,delinquent_30_months_12m,0.016290105879306793
origin_2022_04,regime_aware_logit,delinquent_60_months_3m,0.027299823239445686
origin_2022_04,regime_aware_logit,delinquent_60_months_6m,-0.08014416694641113
origin_2022_04,regime_aware_logit,delinquent_60_months_12m,-0.16167528927326202
origin_2022_04,regime_aware_logit,cured_from_30_dpd,0.02900306135416031
