month_date,fold,p_stress,hard_stress,hmm_state,hmm_stress_state,selected_seed,train_end
2016-05-01,origin_2021_04,0.9999809187733731,1,0,0,101,2020-03-01
2016-06-01,origin_2021_04,0.9999909290360464,1,0,0,101,2020-03-01
2016-07-01,origin_2021_04,0.9999896642749257,1,0,0,101,2020-03-01
2016-08-01,origin_2021_04,0.999981703947068,1,0,0,101,2020-03-01
2016-09-01,origin_2021_04,0.9999805141242879,1,0,0,101,2020-03-01
2016-10-01,origin_2021_04,0.9999912035753465,1,0,0,101,2020-03-01
2016-11-01,origin_2021_04,0.8815997998470474,1,0,0,101,2020-03-01
2016-12-01,origin_2021_04,1.0486583341293435e-06,0,1,0,101,2020-03-01
2017-01-01,origin_2021_04,0.0007555807245293175,0,1,0,101,2020-03-01
2017-02-01,origin_2021_04,6.032672468352104e-05,0,1,0,101,2020-03-01
2017-03-01,origin_2021_04,2.1530864547202075e-06,0,1,0,101,2020-03-01
2017-04-01,origin_2021_04,0.0006333637393307727,0,1,0,101,2020-03-01
2017-05-01,origin_2021_04,3.166735868515971e-05,0,1,0,101,2020-03-01
2017-06-01,origin_2021_04,0.00043555226856297537,0,1,0,101,2020-03-01
2017-07-01,origin_2021_04,7.1469925408306225e-06,0,1,0,101,2020-03-01
2017-08-01,origin_2021_04,0.0003613504336724891,0,1,0,101,2020-03-01
2017-09-01,origin_2021_04,0.0007185601426526981,0,1,0,101,2020-03-01
2017-10-01,origin_2021_04,0.00020106061672094428,0,1,0,101,2020-03-01
2017-11-01,origin_2021_04,0.00010701582166599641,0,1,0,101,2020-03-01
2017-12-01,origin_2021_04,1.8724854613584577e-05,0,1,0,101,2020-03-01
2018-01-01,origin_2021_04,6.622714698103042e-08,0,1,0,101,2020-03-01
2018-02-01,origin_2021_04,1.3167127913754741e-13,0,1,0,101,2020-03-01
2018-03-01,origin_2021_04,3.0648226355378316e-12,0,1,0,101,2020-03-01
2018-04-01,origin_2021_04,1.2938051796184128e-14,0,1,0,101,2020-03-01
2018-05-01,origin_2021_04,1.287034852338269e-19,0,1,0,101,2020-03-01
2018-06-01,origin_2021_04,1.9848817953986441e-16,0,1,0,101,2020-03-01
2018-07-01,origin_2021_04,6.577928832595705e-18,0,1,0,101,2020-03-01
2018-08-01,origin_2021_04,2.2023972842486897e-19,0,1,0,101,2020-03-01
2018-09-01,origin_2021_04,3.418163007770476e-24,0,1,0,101,2020-03-01
2018-10-01,origin_2021_04,3.142600898595276e-34,0,1,0,101,2020-03-01
2018-11-01,origin_2021_04,1.6374951638832892e-31,0,1,0,101,2020-03-01
2018-12-01,origin_2021_04,2.2592907225598033e-19,0,1,0,101,2020-03-01
2019-01-01,origin_2021_04,1.7537387444053306e-19,0,1,0,101,2020-03-01
2019-02-01,origin_2021_04,5.956881310191358e-20,0,1,0,101,2020-03-01
2019-03-01,origin_2021_04,3.656742527715781e-15,0,1,0,101,2020-03-01
2019-04-01,origin_2021_04,9.065827401724451e-13,0,1,0,101,2020-03-01
2019-05-01,origin_2021_04,2.4806776571114085e-10,0,1,0,101,2020-03-01
2019-06-01,origin_2021_04,0.0002838585743716532,0,1,0,101,2020-03-01
2019-07-01,origin_2021_04,2.4033534151381033e-08,0,1,0,101,2020-03-01
2019-08-01,origin_2021_04,0.0175518390547177,0,1,0,101,2020-03-01
2019-09-01,origin_2021_04,3.2402991758709246e-09,0,1,0,101,2020-03-01
2019-10-01,origin_2021_04,2.8618140280710665e-09,0,1,0,101,2020-03-01
2019-11-01,origin_2021_04,1.417859256893798e-08,0,1,0,101,2020-03-01
2019-12-01,origin_2021_04,2.223258097973747e-07,0,1,0,101,2020-03-01
2020-01-01,origin_2021_04,0.00010360764964732942,0,1,0,101,2020-03-01
2020-02-01,origin_2021_04,0.002047449468541121,0,1,0,101,2020-03-01
2020-03-01,origin_2021_04,1.0,1,0,0,101,2020-03-01
2020-04-01,origin_2021_04,1.0,1,0,0,101,2020-03-01
2020-05-01,origin_2021_04,1.0,1,0,0,101,2020-03-01
2020-06-01,origin_2021_04,1.0,1,0,0,101,2020-03-01
2020-07-01,origin_2021_04,1.0,1,0,0,101,2020-03-01
2020-08-01,origin_2021_04,1.0,1,0,0,101,2020-03-01
2020-09-01,origin_2021_04,1.0,1,0,0,101,2020-03-01
2020-10-01,origin_2021_04,1.0,1,0,0,101,2020-03-01
2020-11-01,origin_2021_04,1.0,1,0,0,101,2020-03-01
2020-12-01,origin_2021_04,1.0,1,0,0,101,2020-03-01
2021-01-01,origin_2021_04,1.0,1,0,0,101,2020-03-01
2021-02-01,origin_2021_04,1.0,1,0,0,101,2020-03-01
2021-03-01,origin_2021_04,2.417054781020614e-55,0,1,0,101,2020-03-01
2021-04-01,origin_2021_04,2.200112448079442e-65,0,1,0,101,2020-03-01
2021-05-01,origin_2021_04,2.9818668521641955e-123,0,1,0,101,2020-03-01
2021-06-01,origin_2021_04,9.437757107398247e-140,0,1,0,101,2020-03-01
